team_1,team_2,City,toss_winner,toss_decision
Chennai,Bangalore,Chennai,RCB,Field
Kolkata,Hyderabad,Kolkata,KKR,Field
Mumbai,Delhi,Mumbai,MI,Field
Rajasthan,Punjab,Jaipur,RR,Field
Delhi,Chennai,Delhi,CSK,Bat
Kolkata,Punjab,Kolkata,KXIP,Field
Bangalore,Mumbai,Bangalore,MI,Field
Hyderabad,Rajasthan,Hyderabad,SRH,Bat
Punjab,Mumbai,Dharamshala,MI,Field
Delhi,Kolkata,Delhi,KKR,Field
Hyderabad,Bangalore,Hyderabad,SRH,Field
Chennai,Rajasthan,Chennai,CSK,Field
Punjab,Delhi,Dharamshala,DD,Field
Rajasthan,Bangalore,Jaipur,RCB,Field
Mumbai,Chennai,Mumbai,MI,Bat
Delhi,Hyderabad,Delhi,SRH,Field
Bangalore,Kolkata,Bangalore,RCB,Field
Chennai,Punjab,Chennai,CSK,Bat
Hyderabad,Mumbai,Hyderabad,SRH,Field
Bangalore,Delhi,Bangalore,DD,Field
Rajasthan,Kolkata,Jaipur,KKR,Bat
Punjab,Hyderabad,Dharamshala,KXIP,Field
Chennai,Kolkata,Chennai,CSK,Field
Mumbai,Punjab,Mumbai,MI,Field
Rajasthan,Chennai,Jaipur,RR,Field
Kolkata,Delhi,Kolkata,KKR,Field
Mumbai,Rajasthan,Mumbai,MI,Field
Punjab,Bangalore,Dharamshala,RCB,Field
Kolkata,Chennai,Kolkata,CSK,Field
Hyderabad,Delhi,Hyderabad,DD,Field
Mumbai,Bangalore,Mumbai,RCB,Field
Punjab,Rajasthan,Dharamshala,RR,Field
Hyderabad,Chennai,Hyderabad,SRH,Field
Delhi,Mumbai,Delhi,DD,Bat
Kolkata,Bangalore,Kolkata,KKR,Field
Rajasthan,Mumbai,Jaipur,MI,Field
Delhi,Punjab,Delhi,KXIP,Bat
Hyderabad,Kolkata,Hyderabad,SRH,Field
Bangalore,Chennai,Bangalore,RCB,Field
Rajasthan,Delhi,Jaipur,DD,Field
Chennai,Hyderabad,Chennai,CSK,Field
Bangalore,Punjab,Bangalore,RCB,Field
Kolkata,Rajasthan,Kolkata,KKR,Field
Chennai,Mumbai,Chennai,MI,Field
Rajasthan,Hyderabad,Jaipur,RR,Field
Delhi,Bangalore,Delhi,DD,Field
Kolkata,Mumbai,Kolkata,MI,Bat
Hyderabad,Punjab,Hyderabad,SRH,Field
Bangalore,Rajasthan,Bangalore,RR,Field
Chennai,Delhi,Chennai,CSK,Field
Mumbai,Hyderabad,Mumbai,MI,Bat
Punjab,Kolkata,Dharamshala,KKR,Field
Delhi,Rajasthan,Delhi,DD,Field
Bangalore,Hyderabad,Bangalore,RCB,Field
Punjab,Chennai,Dharamshala,CSK,Bat
Mumbai,Kolkata,Mumbai,MI,Field
