RANK,Player,Team,RAA,Wins,EFscore,Salary,Value
1,DA Warner,Sunrisers Hyderabad,410,1.414,0.224,"$1,953,130 ","$2,742,721 "
2,AD Russell,Kolkata Knight Riders,307,1.06,0.242,"$1,328,130 ","$2,200,717 "
3,MS Dhoni,Chennai Super Kings,305,1.053,0.176,"$2,343,750 ","$2,190,000 "
4,Imran Tahir,Chennai Super Kings,295,1.018,0.2,"$156,250 ","$2,136,412 "
5,KL Rahul,Kings XI Punjab,288,0.994,0.217,"$1,718,750 ","$2,099,665 "
6,K Rabada,Delhi Capitals,268,0.925,0.196,"$656,250 ","$1,994,021 "
7,KK Ahmed,Sunrisers Hyderabad,253,0.873,0.166,"$468,750 ","$1,914,404 "
8,JM Bairstow,Sunrisers Hyderabad,223,0.77,0.132,"$314,300 ","$1,756,702 "
9,AB de Villiers,Royal Challengers Bangalore,192,0.664,0.139,"$1,718,750 ","$1,594,407 "
10,HH Pandya,Mumbai Indians,165,0.568,0.204,"$1,718,750 ","$1,447,423 "
11,S Gopal,Rajasthan Royals,161,0.555,0.166,"$31,250 ","$1,427,519 "
12,CH Gayle,Kings XI Punjab,157,0.542,0.133,"$312,500 ","$1,407,615 "
13,Q de Kock,Mumbai Indians,141,0.486,0.117,"$437,500 ","$1,321,874 "
14,RR Pant,Delhi Capitals,127,0.44,0.114,"$2,343,750 ","$1,251,444 "
15,JJ Bumrah,Mumbai Indians,127,0.438,0.139,"$1,093,750 ","$1,248,382 "
16,RA Jadeja,Chennai Super Kings,126,0.433,0.143,"$1,093,750 ","$1,240,727 "
17,MK Pandey,Sunrisers Hyderabad,122,0.421,0.112,"$1,718,750 ","$1,222,354 "
18,SV Samson,Rajasthan Royals,120,0.415,0.086,"$1,250,000 ","$1,213,167 "
19,JC Buttler,Rajasthan Royals,117,0.403,0.094,"$687,500 ","$1,194,794 "
20,F du Plessis,Chennai Super Kings,114,0.392,0.101,"$250,000 ","$1,177,952 "
21,Harbhajan Singh,Chennai Super Kings,112,0.386,0.129,"$312,500 ","$1,168,766 "
22,S Dhawan,Delhi Capitals,105,0.362,0.119,"$812,500 ","$1,132,020 "
23,DL Chahar,Chennai Super Kings,98,0.337,0.162,"$125,000 ","$1,093,743 "
24,AS Joseph,Mumbai Indians,97,0.336,0.063,NA,"$1,092,212 "
25,SPD Smith,Rajasthan Royals,97,0.335,0.08,"$1,953,130 ","$1,090,680 "
26,SA Yadav,Mumbai Indians,91,0.315,0.111,"$500,000 ","$1,060,059 "
27,YS Chahal,Royal Challengers Bangalore,76,0.261,0.134,"$937,500 ","$977,380 "
28,V Kohli,Royal Challengers Bangalore,76,0.261,0.094,"$2,656,250 ","$977,380 "
29,N Rana,Kolkata Knight Riders,75,0.258,0.112,"$531,250 ","$972,787 "
30,Shubman Gill,Kolkata Knight Riders,74,0.256,0.08,"$281,250 ","$969,725 "
31,Mohammed Shami,Kings XI Punjab,69,0.238,0.131,"$685,700 ","$942,165 "
32,SN Khan,Kings XI Punjab,63,0.218,0.055,"$35,700 ","$911,544 "
33,O Thomas,Rajasthan Royals,63,0.216,0.038,"$157,100 ","$908,481 "
34,AM Rahane,Rajasthan Royals,60,0.208,0.103,"$625,000 ","$896,233 "
35,JC Archer,Rajasthan Royals,59,0.205,0.104,"$1,125,000 ","$891,639 "
36,KD Karthik,Kolkata Knight Riders,59,0.203,0.075,"$1,156,250 ","$888,577 "
37,KA Pollard,Mumbai Indians,57,0.197,0.076,"$843,750 ","$879,391 "
38,MM Ali,Royal Challengers Bangalore,52,0.179,0.104,"$265,630 ","$851,831 "
39,SS Iyer,Delhi Capitals,47,0.162,0.102,"$1,093,750 ","$825,803 "
40,CA Lynn,Kolkata Knight Riders,44,0.153,0.095,"$1,500,000 ","$812,023 "
41,DW Steyn,Royal Challengers Bangalore,42,0.145,0.031,"$345,000 ","$799,774 "
42,J Suchith,Delhi Capitals,33,0.115,0.021,"$16,667 ","$753,842 "
43,RV Uthappa,Kolkata Knight Riders,32,0.112,0.072,"$1,000,000 ","$749,249 "
44,MJ Santner,Chennai Super Kings,32,0.111,0.044,"$78,130 ","$747,717 "
45,I Sharma,Delhi Capitals,30,0.102,0.086,"$157,100 ","$733,938 "
46,Mandeep Singh,Kings XI Punjab,28,0.097,0.041,"$218,750 ","$726,282 "
47,IS Sodhi,Rajasthan Royals,23,0.08,0.028,"$69,573 ","$700,254 "
48,MA Agarwal,Kings XI Punjab,22,0.076,0.066,"$156,250 ","$694,129 "
49,SL Malinga,Mumbai Indians,22,0.075,0.104,"$285,700 ","$692,598 "
50,AS Roy,Mumbai Indians,20,0.068,0.004,"$31,250 ","$681,881 "
51,MP Stoinis,Royal Challengers Bangalore,19,0.064,0.075,"$968,750 ","$675,756 "
52,RG Sharma,Mumbai Indians,17,0.058,0.097,"$2,343,750 ","$666,570 "
53,Gurkeerat Singh,Royal Challengers Bangalore,15,0.051,0.019,"$71,400 ","$655,852 "
54,RD Chahar,Mumbai Indians,14,0.049,0.106,"$296,880 ","$652,790 "
55,R Tewatia,Delhi Capitals,13,0.044,0.024,"$468,750 ","$645,135 "
56,M Vijay,Chennai Super Kings,9,0.029,0.016,"$312,500 ","$622,168 "
57,VR Aaron,Rajasthan Royals,5,0.017,0.028,"$342,900 ","$603,795 "
58,Mohammad Nabi,Sunrisers Hyderabad,4,0.014,0.077,"$156,250 ","$599,202 "
59,A Mishra,Delhi Capitals,4,0.012,0.073,"$625,000 ","$596,140 "
60,N Pooran,Kings XI Punjab,2,0.006,0.046,"$600,000 ","$586,954 "
61,MM Sharma,Chennai Super Kings,1,0.003,0.006,"$714,300 ","$582,360 "
62,Sandeep Sharma,Sunrisers Hyderabad,-4,-0.015,0.083,"$468,750 ","$554,801 "
63,Rashid Khan,Sunrisers Hyderabad,-4,-0.015,0.114,"$1,406,250 ","$554,801 "
