Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
1,DA Warner,Sunrisers Hyderabad,410,1.414,0.224,"$1,953,130 ","$2,742,721 "
2,AD Russell,Kolkata Knight Riders,307,1.06,0.242,"$1,328,130 ","$2,200,717 "
3,MS Dhoni,Chennai Super Kings,305,1.053,0.176,"$2,343,750 ","$2,190,000 "
4,Imran Tahir,Chennai Super Kings,295,1.018,0.2,"$156,250 ","$2,136,412 "
5,KL Rahul,Kings XI Punjab,288,0.994,0.217,"$1,718,750 ","$2,099,665 "
6,K Rabada,Delhi Capitals,268,0.925,0.196,"$656,250 ","$1,994,021 "
7,KK Ahmed,Sunrisers Hyderabad,253,0.873,0.166,"$468,750 ","$1,914,404 "
8,JM Bairstow,Sunrisers Hyderabad,223,0.77,0.132,"$314,300 ","$1,756,702 "
9,AB de Villiers,Royal Challengers Bangalore,192,0.664,0.139,"$1,718,750 ","$1,594,407 "
10,HH Pandya,Mumbai Indians,165,0.568,0.204,"$1,718,750 ","$1,447,423 "
11,S Gopal,Rajasthan Royals,161,0.555,0.166,"$31,250 ","$1,427,519 "
12,CH Gayle,Kings XI Punjab,157,0.542,0.133,"$312,500 ","$1,407,615 "
13,Q de Kock,Mumbai Indians,141,0.486,0.117,"$437,500 ","$1,321,874 "
14,RR Pant,Delhi Capitals,127,0.44,0.114,"$2,343,750 ","$1,251,444 "
15,JJ Bumrah,Mumbai Indians,127,0.438,0.139,"$1,093,750 ","$1,248,382 "
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
