,team2,t2_score,Unnamed: 0,team1,t1_score,id,season,city,date,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
0,9,1.407,93,2,1.303,118,2009,13,4/18/2009,9,1,normal,0,2,19,0,SR Tendulkar,Newlands,BR Doctrove,K Hariharan,
1,9,1.407,99,2,1.303,162,2009,14,5/16/2009,2,2,normal,0,9,0,7,ML Hayden,St George's Park,SK Tarapore,SJA Taufel,
2,9,1.407,113,2,1.303,257,2011,6,4/22/2011,9,1,normal,0,2,8,0,Harbhajan Singh,Wankhede Stadium,Asad Rauf,AM Saheba,
3,9,1.407,126,2,1.303,386,2013,12,4/6/2013,2,2,normal,0,2,9,0,KA Pollard,"MA Chidambaram Stadium, Chepauk",M Erasmus,VA Kulkarni,
4,9,1.407,133,2,1.303,430,2013,6,5/5/2013,2,2,normal,0,2,60,0,MG Johnson,Wankhede Stadium,HDPK Dharmasena,CK Nandan,
5,9,1.407,136,2,1.303,457,2013,7,5/26/2013,2,2,normal,0,2,23,0,KA Pollard,Eden Gardens,HDPK Dharmasena,SJA Taufel,
6,9,1.407,138,2,1.303,470,2014,31,4/25/2014,2,2,normal,0,9,0,7,MM Sharma,Dubai International Cricket Stadium,BF Bowden,M Erasmus,
7,9,1.407,141,2,1.303,490,2014,6,5/10/2014,9,1,normal,0,9,0,4,DR Smith,Wankhede Stadium,HDPK Dharmasena,VA Kulkarni,
8,9,1.407,145,2,1.303,515,2014,6,5/28/2014,9,1,normal,0,9,0,7,SK Raina,Brabourne Stadium,VA Kulkarni,BNJ Oxenford,
9,9,1.407,148,2,1.303,530,2015,6,4/17/2015,2,2,normal,0,9,0,6,A Nehra,Wankhede Stadium,AK Chaudhary,M Erasmus,
10,9,1.407,154,2,1.303,573,2015,6,5/19/2015,2,2,normal,0,2,25,0,KA Pollard,Wankhede Stadium,HDPK Dharmasena,RK Illingworth,
11,9,1.407,155,2,1.303,576,2015,7,5/24/2015,9,1,normal,0,2,41,0,RG Sharma,Eden Gardens,HDPK Dharmasena,RK Illingworth,
12,9,1.407,163,2,1.303,637,2018,6,7-Apr,9,1,,,9,,,,,,,
13,9,1.407,179,1,0.33,414,2013,12,4/25/2013,1,2,normal,0,9,0,5,MS Dhoni,"MA Chidambaram Stadium, Chepauk",Aleem Dar,S Das,
14,9,1.407,188,1,0.33,474,2014,30,4/27/2014,1,2,normal,0,9,0,5,DR Smith,Sharjah Cricket Stadium,AK Chaudhary,VA Kulkarni,
15,9,1.407,199,1,0.33,551,2015,1,5/2/2015,9,1,normal,0,1,22,0,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AK Chaudhary,K Srinivasan,
16,9,1.407,225,7,1.226,87,2008,8,5/8/2008,9,1,normal,0,9,0,4,MS Dhoni,Feroz Shah Kotla,Aleem Dar,RB Tiffin,
17,9,1.407,229,7,1.226,125,2009,15,4/23/2009,7,2,normal,0,7,9,0,AB de Villiers,Kingsmead,BR Doctrove,SJA Taufel,
18,9,1.407,236,7,1.226,185,2010,8,3/19/2010,7,2,normal,0,9,0,5,ML Hayden,Feroz Shah Kotla,BR Doctrove,SK Tarapore,
19,9,1.407,252,7,1.226,364,2012,12,5/12/2012,9,1,normal,0,9,0,9,BW Hilfenhaus,"MA Chidambaram Stadium, Chepauk",S Das,BR Doctrove,
20,9,1.407,262,7,1.226,483,2014,8,5/5/2014,9,1,normal,0,9,0,8,DR Smith,Feroz Shah Kotla,RM Deshpande,BNJ Oxenford,
21,9,1.407,298,8,1.092,116,2008,6,5/31/2008,8,2,normal,0,9,0,9,M Ntini,Wankhede Stadium,Asad Rauf,DJ Harper,
22,9,1.407,307,8,1.092,190,2010,12,3/21/2010,9,1,tie,0,8,0,0,J Theron,"MA Chidambaram Stadium, Chepauk",K Hariharan,DJ Harper,
23,9,1.407,312,8,1.092,228,2010,24,4/18/2010,9,1,normal,0,9,0,6,MS Dhoni,Himachal Pradesh Cricket Association Stadium,BF Bowden,AM Saheba,
24,9,1.407,324,8,1.092,343,2012,12,4/28/2012,8,2,normal,0,8,7,0,Mandeep Singh,"MA Chidambaram Stadium, Chepauk",BF Bowden,SK Tarapore,
25,9,1.407,328,8,1.092,391,2013,9,4/10/2013,9,1,normal,0,9,0,10,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",Aleem Dar,C Shamshuddin,
26,9,1.407,339,8,1.092,486,2014,22,5/7/2014,9,1,normal,0,8,44,0,GJ Maxwell,Barabati Stadium,HDPK Dharmasena,PG Pathak,
27,9,1.407,344,8,1.092,516,2014,6,5/30/2014,9,1,normal,0,8,24,0,V Sehwag,Wankhede Stadium,HDPK Dharmasena,RJ Tucker,
28,9,1.407,352,8,1.092,569,2015,9,5/16/2015,8,2,normal,0,9,0,7,P Negi,"Punjab Cricket Association Stadium, Mohali",CK Nandan,C Shamshuddin,
29,9,1.407,362,8,1.092,648,2018,32,15-Apr,9,1,,,8,,,,,,,
30,9,1.407,370,10,1.56,110,2008,12,5/24/2008,10,2,normal,0,10,10,0,JA Morkel,"MA Chidambaram Stadium, Chepauk",DJ Harper,SL Shastri,
31,9,1.407,374,10,1.56,152,2009,19,5/9/2009,10,2,normal,0,9,0,7,S Badrinath,De Beers Diamond Oval,GAV Baxter,HDPK Dharmasena,
32,9,1.407,381,10,1.56,198,2010,21,3/28/2010,10,2,normal,0,10,17,0,NV Ojha,"Sardar Patel Stadium, Motera",SS Hazare,SJA Taufel,
33,9,1.407,387,10,1.56,276,2011,12,5/4/2011,10,2,normal,0,9,0,8,MEK Hussey,"MA Chidambaram Stadium, Chepauk",SS Hazare,RB Tiffin,
34,9,1.407,394,10,1.56,334,2012,12,4/21/2012,10,2,normal,0,9,0,7,F du Plessis,"MA Chidambaram Stadium, Chepauk",Aleem Dar,BNJ Oxenford,
35,9,1.407,397,10,1.56,361,2012,11,5/10/2012,9,1,normal,0,9,0,4,BW Hilfenhaus,Sawai Mansingh Stadium,BNJ Oxenford,C Shamshuddin,
36,9,1.407,406,10,1.56,410,2013,12,4/22/2013,10,2,normal,0,9,0,5,MEK Hussey,"MA Chidambaram Stadium, Chepauk",S Asnani,AK Chaudhary,
37,9,1.407,412,10,1.56,494,2014,28,5/13/2014,10,2,normal,0,9,0,5,RA Jadeja,JSCA International Stadium Complex,BNJ Oxenford,C Shamshuddin,
38,9,1.407,431,6,1.011,71,2008,12,4/26/2008,6,2,normal,0,9,0,9,JDP Oram,"MA Chidambaram Stadium, Chepauk",BF Bowden,AV Jayaprakash,
39,9,1.407,437,6,1.011,103,2008,7,5/18/2008,6,2,normal,1,9,3,0,M Ntini,Eden Gardens,Asad Rauf,K Hariharan,
40,9,1.407,453,6,1.011,222,2010,12,4/13/2010,6,2,normal,0,9,0,9,R Ashwin,"MA Chidambaram Stadium, Chepauk",SS Hazare,SJA Taufel,
41,9,1.407,465,6,1.011,368,2012,7,5/14/2012,9,1,normal,0,9,0,5,MEK Hussey,Eden Gardens,JD Cloete,SJA Taufel,
42,9,1.407,471,6,1.011,406,2013,7,4/20/2013,6,2,normal,0,9,0,4,RA Jadeja,Eden Gardens,Asad Rauf,AK Chaudhary,
43,9,1.407,492,6,1.011,641,2018,12,4/10/2018,9,1,,,9,,,,,,,
44,9,1.407,497,6,1.011,669,2018,7,3-May,6,1,,,6,,,,,,,
45,9,1.407,511,5,0.995,107,2008,12,5/21/2008,5,2,normal,0,5,14,0,A Kumble,"MA Chidambaram Stadium, Chepauk",DJ Harper,I Shivram,
46,9,1.407,520,5,0.995,192,2010,5,3/23/2010,9,1,normal,0,5,36,0,RV Uthappa,M Chinnaswamy Stadium,RE Koertzen,RB Tiffin,
47,9,1.407,521,5,0.995,202,2010,12,3/31/2010,5,2,normal,0,9,0,5,M Vijay,"MA Chidambaram Stadium, Chepauk",BG Jerling,RE Koertzen,
48,9,1.407,526,5,0.995,304,2011,6,5/24/2011,9,1,normal,0,9,0,6,SK Raina,Wankhede Stadium,Asad Rauf,SJA Taufel,
49,9,1.407,529,5,0.995,320,2012,12,4/12/2012,5,2,normal,0,9,0,5,F du Plessis,"MA Chidambaram Stadium, Chepauk",HDPK Dharmasena,RJ Tucker,
50,9,1.407,537,5,0.995,396,2013,12,4/13/2013,9,1,normal,0,9,0,4,RA Jadeja,"MA Chidambaram Stadium, Chepauk",Asad Rauf,AK Chaudhary,
51,9,1.407,545,5,0.995,452,2013,5,5/18/2013,9,1,normal,0,5,24,0,V Kohli,M Chinnaswamy Stadium,C Shamshuddin,RJ Tucker,
