,Unnamed: 0,t1_score,t2_score,id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
0,0,,,1,2017,1,4/5/2017,1,5,5,1,normal,0.0,1,35.0,0.0,Yuvraj Singh,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,NJ Llong,
1,1,,,2,2017,2,4/6/2017,2,4,4,1,normal,0.0,4,0.0,7.0,SPD Smith,Maharashtra Cricket Association Stadium,A Nand Kishore,S Ravi,
2,2,,,3,2017,3,4/7/2017,3,6,6,1,normal,0.0,6,0.0,10.0,CA Lynn,Saurashtra Cricket Association Stadium,Nitin Menon,CK Nandan,
3,3,,,4,2017,4,4/8/2017,4,8,8,1,normal,0.0,8,0.0,6.0,GJ Maxwell,Holkar Cricket Stadium,AK Chaudhary,C Shamshuddin,
4,4,,,5,2017,5,4/8/2017,5,7,5,2,normal,0.0,5,15.0,0.0,KM Jadhav,M Chinnaswamy Stadium,,,
5,5,,,6,2017,1,4/9/2017,3,1,1,1,normal,0.0,1,0.0,9.0,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",A Deshmukh,NJ Llong,
6,6,,,7,2017,6,4/9/2017,6,2,2,1,normal,0.0,2,0.0,4.0,N Rana,Wankhede Stadium,Nitin Menon,CK Nandan,
7,7,,,8,2017,4,4/10/2017,5,8,5,2,normal,0.0,8,0.0,8.0,AR Patel,Holkar Cricket Stadium,AK Chaudhary,C Shamshuddin,
8,8,,,9,2017,2,4/11/2017,7,4,4,1,normal,0.0,7,97.0,0.0,SV Samson,Maharashtra Cricket Association Stadium,AY Dandekar,S Ravi,
9,9,,,10,2017,6,4/12/2017,1,2,2,1,normal,0.0,2,0.0,4.0,JJ Bumrah,Wankhede Stadium,Nitin Menon,CK Nandan,
10,10,,,11,2017,7,4/13/2017,8,6,6,1,normal,0.0,6,0.0,8.0,SP Narine,Eden Gardens,A Deshmukh,NJ Llong,
11,11,,,12,2017,5,4/14/2017,5,2,2,1,normal,0.0,2,0.0,4.0,KA Pollard,M Chinnaswamy Stadium,KN Ananthapadmanabhan,AK Chaudhary,
12,12,,,13,2017,3,4/14/2017,4,3,3,1,normal,0.0,3,0.0,7.0,AJ Tye,Saurashtra Cricket Association Stadium,A Nand Kishore,S Ravi,
13,13,,,14,2017,7,4/15/2017,6,1,1,1,normal,0.0,6,17.0,0.0,RV Uthappa,Eden Gardens,AY Dandekar,NJ Llong,
14,14,,,15,2017,8,4/15/2017,7,8,7,2,normal,0.0,7,51.0,0.0,CJ Anderson,Feroz Shah Kotla,YC Barde,Nitin Menon,
15,15,,,16,2017,6,4/16/2017,3,2,2,1,normal,0.0,2,0.0,6.0,N Rana,Wankhede Stadium,A Nand Kishore,S Ravi,
16,16,,,17,2017,5,4/16/2017,4,5,5,1,normal,0.0,4,27.0,0.0,BA Stokes,M Chinnaswamy Stadium,KN Ananthapadmanabhan,C Shamshuddin,
17,17,,,18,2017,8,4/17/2017,7,6,7,2,normal,0.0,6,0.0,4.0,NM Coulter-Nile,Feroz Shah Kotla,Nitin Menon,CK Nandan,
18,18,,,19,2017,1,4/17/2017,1,8,8,1,normal,0.0,1,5.0,0.0,B Kumar,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,A Deshmukh,
19,19,,,20,2017,3,4/18/2017,5,3,3,1,normal,0.0,5,21.0,0.0,CH Gayle,Saurashtra Cricket Association Stadium,S Ravi,VK Sharma,
20,20,,,21,2017,1,4/19/2017,1,7,1,2,normal,0.0,1,15.0,0.0,KS Williamson,"Rajiv Gandhi International Stadium, Uppal",CB Gaffaney,NJ Llong,
21,21,,,22,2017,4,4/20/2017,8,2,2,1,normal,0.0,2,0.0,8.0,JC Buttler,Holkar Cricket Stadium,M Erasmus,C Shamshuddin,
22,22,,,23,2017,7,4/21/2017,6,3,3,1,normal,0.0,3,0.0,4.0,SK Raina,Eden Gardens,CB Gaffaney,Nitin Menon,
23,23,,,24,2017,6,4/22/2017,2,7,7,1,normal,0.0,2,14.0,0.0,MJ McClenaghan,Wankhede Stadium,A Nand Kishore,S Ravi,
24,24,,,25,2017,2,4/22/2017,1,4,4,1,normal,0.0,4,0.0,6.0,MS Dhoni,Maharashtra Cricket Association Stadium,AY Dandekar,A Deshmukh,
25,25,,,26,2017,3,4/23/2017,8,3,3,1,normal,0.0,8,26.0,0.0,HM Amla,Saurashtra Cricket Association Stadium,AK Chaudhary,M Erasmus,
26,26,,,27,2017,7,4/23/2017,6,5,5,1,normal,0.0,6,82.0,0.0,NM Coulter-Nile,Eden Gardens,CB Gaffaney,CK Nandan,
27,27,,,28,2017,6,4/24/2017,4,2,2,1,normal,0.0,4,3.0,0.0,BA Stokes,Wankhede Stadium,A Nand Kishore,S Ravi,
28,28,,,29,2017,2,4/26/2017,4,6,6,1,normal,0.0,6,0.0,7.0,RV Uthappa,Maharashtra Cricket Association Stadium,AY Dandekar,NJ Llong,
29,29,,,30,2017,5,4/27/2017,5,3,3,1,normal,0.0,3,0.0,7.0,AJ Tye,M Chinnaswamy Stadium,AK Chaudhary,C Shamshuddin,
30,30,,,31,2017,7,4/28/2017,7,6,6,1,normal,0.0,6,0.0,7.0,G Gambhir,Eden Gardens,NJ Llong,S Ravi,
31,31,,,32,2017,9,4/28/2017,1,8,8,1,normal,0.0,1,26.0,0.0,Rashid Khan,"Punjab Cricket Association IS Bindra Stadium, Mohali",Nitin Menon,CK Nandan,
32,32,,,33,2017,2,4/29/2017,4,5,5,1,normal,0.0,4,61.0,0.0,LH Ferguson,Maharashtra Cricket Association Stadium,KN Ananthapadmanabhan,M Erasmus,
33,33,,,34,2017,3,4/29/2017,3,2,3,2,tie,0.0,2,0.0,0.0,KH Pandya,Saurashtra Cricket Association Stadium,AK Chaudhary,CB Gaffaney,
34,34,,,35,2017,9,4/30/2017,7,8,8,1,normal,0.0,8,0.0,10.0,Sandeep Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",YC Barde,CK Nandan,
35,35,,,36,2017,1,4/30/2017,1,6,6,1,normal,0.0,1,48.0,0.0,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,S Ravi,
36,36,,,37,2017,6,5/1/2017,5,2,5,2,normal,0.0,2,0.0,5.0,RG Sharma,Wankhede Stadium,AK Chaudhary,CB Gaffaney,
37,37,,,38,2017,2,5/1/2017,3,4,4,1,normal,0.0,4,0.0,5.0,BA Stokes,Maharashtra Cricket Association Stadium,M Erasmus,C Shamshuddin,
38,38,,,39,2017,8,5/2/2017,1,7,7,1,normal,0.0,7,0.0,6.0,Mohammed Shami,Feroz Shah Kotla,YC Barde,Nitin Menon,
39,39,,,40,2017,7,5/3/2017,6,4,4,1,normal,0.0,4,0.0,4.0,RA Tripathi,Eden Gardens,KN Ananthapadmanabhan,A Nand Kishore,
40,40,,,41,2017,8,5/4/2017,3,7,7,1,normal,0.0,7,0.0,7.0,RR Pant,Feroz Shah Kotla,M Erasmus,Nitin Menon,
41,41,,,42,2017,5,5/5/2017,8,5,5,1,normal,0.0,8,19.0,0.0,Sandeep Sharma,M Chinnaswamy Stadium,CB Gaffaney,C Shamshuddin,
42,42,,,43,2017,1,5/6/2017,4,1,1,1,normal,0.0,4,12.0,0.0,JD Unadkat,"Rajiv Gandhi International Stadium, Uppal",KN Ananthapadmanabhan,AK Chaudhary,
43,43,,,44,2017,8,5/6/2017,2,7,7,1,normal,0.0,2,146.0,0.0,LMP Simmons,Feroz Shah Kotla,Nitin Menon,CK Nandan,
44,44,,,45,2017,5,5/7/2017,5,6,6,1,normal,0.0,6,0.0,6.0,SP Narine,M Chinnaswamy Stadium,AY Dandekar,C Shamshuddin,
45,45,,,46,2017,9,5/7/2017,8,3,3,1,normal,0.0,3,0.0,6.0,DR Smith,"Punjab Cricket Association IS Bindra Stadium, Mohali",A Nand Kishore,VK Sharma,
46,46,,,47,2017,1,5/8/2017,2,1,2,2,normal,0.0,1,0.0,7.0,S Dhawan,"Rajiv Gandhi International Stadium, Uppal",KN Ananthapadmanabhan,M Erasmus,
47,47,,,48,2017,9,5/9/2017,8,6,6,1,normal,0.0,8,14.0,0.0,MM Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",A Nand Kishore,S Ravi,
48,48,,,49,2017,10,5/10/2017,3,7,7,1,normal,0.0,7,0.0,2.0,SS Iyer,Green Park,YC Barde,AK Chaudhary,
49,49,,,50,2017,6,5/11/2017,8,2,2,1,normal,0.0,8,7.0,0.0,WP Saha,Wankhede Stadium,A Deshmukh,A Nand Kishore,
50,50,,,51,2017,8,5/12/2017,7,4,7,2,normal,0.0,7,7.0,0.0,KK Nair,Feroz Shah Kotla,KN Ananthapadmanabhan,CK Nandan,
51,51,,,52,2017,10,5/13/2017,3,1,1,1,normal,0.0,1,0.0,8.0,Mohammed Siraj,Green Park,AK Chaudhary,Nitin Menon,
52,52,,,53,2017,7,5/13/2017,2,6,6,1,normal,0.0,2,9.0,0.0,AT Rayudu,Eden Gardens,A Nand Kishore,S Ravi,
53,53,,,54,2017,2,5/14/2017,8,4,4,1,normal,0.0,4,0.0,9.0,JD Unadkat,Maharashtra Cricket Association Stadium,AY Dandekar,A Deshmukh,
54,54,,,55,2017,8,5/14/2017,5,7,5,2,normal,0.0,5,10.0,0.0,HV Patel,Feroz Shah Kotla,CK Nandan,C Shamshuddin,
55,55,,,56,2017,6,5/16/2017,4,2,2,1,normal,0.0,4,20.0,0.0,Washington Sundar,Wankhede Stadium,S Ravi,C Shamshuddin,
56,56,,,57,2017,5,5/17/2017,1,6,6,1,normal,1.0,6,0.0,7.0,NM Coulter-Nile,M Chinnaswamy Stadium,AK Chaudhary,Nitin Menon,
57,57,,,58,2017,5,5/19/2017,6,2,2,1,normal,0.0,2,0.0,6.0,KV Sharma,M Chinnaswamy Stadium,NJ Llong,Nitin Menon,
58,58,,,59,2017,1,5/21/2017,2,4,2,2,normal,0.0,2,1.0,0.0,KH Pandya,"Rajiv Gandhi International Stadium, Uppal",NJ Llong,S Ravi,
59,59,,,60,2008,5,4/18/2008,6,5,5,1,normal,0.0,6,140.0,0.0,BB McCullum,M Chinnaswamy Stadium,Asad Rauf,RE Koertzen,
60,60,,,61,2008,9,4/19/2008,9,8,9,2,normal,0.0,9,33.0,0.0,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",MR Benson,SL Shastri,
61,61,,,62,2008,8,4/19/2008,10,7,10,2,normal,0.0,7,0.0,9.0,MF Maharoof,Feroz Shah Kotla,Aleem Dar,GA Pratapkumar,
62,62,,,63,2008,6,4/20/2008,2,5,2,2,normal,0.0,5,0.0,5.0,MV Boucher,Wankhede Stadium,SJ Davis,DJ Harper,
63,63,,,64,2008,7,4/20/2008,11,6,11,2,normal,0.0,6,0.0,5.0,DJ Hussey,Eden Gardens,BF Bowden,K Hariharan,
64,64,,,65,2008,11,4/21/2008,8,10,8,2,normal,0.0,10,0.0,6.0,SR Watson,Sawai Mansingh Stadium,Aleem Dar,RB Tiffin,
65,65,,,66,2008,1,4/22/2008,11,7,11,2,normal,0.0,7,0.0,9.0,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",IL Howell,AM Saheba,
66,66,,,67,2008,12,4/23/2008,9,2,2,1,normal,0.0,9,6.0,0.0,ML Hayden,"MA Chidambaram Stadium, Chepauk",DJ Harper,GA Pratapkumar,
67,67,,,68,2008,1,4/24/2008,11,10,10,1,normal,0.0,10,0.0,3.0,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",Asad Rauf,MR Benson,
