,id,t1_score,t2_score,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
0,1,0.33,0.995,2017,1,4/5/2017,1,5,5,1,normal,0,1,35,0,Yuvraj Singh,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,NJ Llong,
1,2,1.303,0,2017,2,4/6/2017,2,4,4,1,normal,0,4,0,7,SPD Smith,Maharashtra Cricket Association Stadium,A Nand Kishore,S Ravi,
2,3,0,1.011,2017,3,4/7/2017,3,6,6,1,normal,0,6,0,10,CA Lynn,Saurashtra Cricket Association Stadium,Nitin Menon,CK Nandan,
3,4,0,1.092,2017,4,4/8/2017,4,8,8,1,normal,0,8,0,6,GJ Maxwell,Holkar Cricket Stadium,AK Chaudhary,C Shamshuddin,
4,5,0.995,1.226,2017,5,4/8/2017,5,7,5,2,normal,0,5,15,0,KM Jadhav,M Chinnaswamy Stadium,,,
5,6,0,0.33,2017,1,4/9/2017,3,1,1,1,normal,0,1,0,9,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",A Deshmukh,NJ Llong,
6,7,1.011,1.303,2017,6,4/9/2017,6,2,2,1,normal,0,2,0,4,N Rana,Wankhede Stadium,Nitin Menon,CK Nandan,
7,8,0.995,1.092,2017,4,4/10/2017,5,8,5,2,normal,0,8,0,8,AR Patel,Holkar Cricket Stadium,AK Chaudhary,C Shamshuddin,
8,9,1.226,0,2017,2,4/11/2017,7,4,4,1,normal,0,7,97,0,SV Samson,Maharashtra Cricket Association Stadium,AY Dandekar,S Ravi,
9,10,0.33,1.303,2017,6,4/12/2017,1,2,2,1,normal,0,2,0,4,JJ Bumrah,Wankhede Stadium,Nitin Menon,CK Nandan,
10,11,1.092,1.011,2017,7,4/13/2017,8,6,6,1,normal,0,6,0,8,SP Narine,Eden Gardens,A Deshmukh,NJ Llong,
11,12,0.995,1.303,2017,5,4/14/2017,5,2,2,1,normal,0,2,0,4,KA Pollard,M Chinnaswamy Stadium,KN Ananthapadmanabhan,AK Chaudhary,
12,13,0,0,2017,3,4/14/2017,4,3,3,1,normal,0,3,0,7,AJ Tye,Saurashtra Cricket Association Stadium,A Nand Kishore,S Ravi,
13,14,1.011,0.33,2017,7,4/15/2017,6,1,1,1,normal,0,6,17,0,RV Uthappa,Eden Gardens,AY Dandekar,NJ Llong,
14,15,1.226,1.092,2017,8,4/15/2017,7,8,7,2,normal,0,7,51,0,CJ Anderson,Feroz Shah Kotla,YC Barde,Nitin Menon,
15,16,0,1.303,2017,6,4/16/2017,3,2,2,1,normal,0,2,0,6,N Rana,Wankhede Stadium,A Nand Kishore,S Ravi,
16,17,0,0.995,2017,5,4/16/2017,4,5,5,1,normal,0,4,27,0,BA Stokes,M Chinnaswamy Stadium,KN Ananthapadmanabhan,C Shamshuddin,
17,18,1.226,1.011,2017,8,4/17/2017,7,6,7,2,normal,0,6,0,4,NM Coulter-Nile,Feroz Shah Kotla,Nitin Menon,CK Nandan,
